postUrl,snapshotType,sharesCount,viewDelta,isFirstSeen,postId,videoPlayCount,firstSeenAt,platform,isProductPost,是否监控,playDelta,commentDelta,postKey,likesCount,shareDelta,commentsCount,capturedAt,红人名称,runId,likeDelta,videoViewCount
"{""link"":""https://www.tiktok.com/@freego.judah/video/7644300957836135710"",""text"":""https://www.tiktok.com/@freego.judah/video/7644300957836135710""}",existing,3,6,否,7644300957836135710,1313,1780225426646,tiktok,是,是,6,-1,tiktok_7644300957836135710,56,0,8,1780241603376,freego.judah,run_1780241575191,0,1313
"{""link"":""https://www.tiktok.com/@freego.judah/video/7644300957836135710"",""text"":""https://www.tiktok.com/@freego.judah/video/7644300957836135710""}",existing,3,60,否,7644300957836135710,1373,1780225426646,tiktok,是,是,60,0,tiktok_7644300957836135710,57,0,8,1780365667021,freego.judah,run_1780365602600,1,1373
"{""link"":""https://www.tiktok.com/@radutz_/video/7644559234453212439"",""text"":""https://www.tiktok.com/@radutz_/video/7644559234453212439""}",new,2,3063,是,7644559234453212439,3063,1780483153060,tiktok,是,是,3063,19,tiktok_7644559234453212439,238,2,19,1780483153060,radutz_,run_1780479721870,238,3063
"{""link"":""https://www.youtube.com/shorts/rL1lo8jb--s"",""text"":""https://www.youtube.com/shorts/rL1lo8jb--s""}",new,0,60018,是,rL1lo8jb--s,60018,1780396769221,youtubeshort,是,是,60018,51,youtubeshort_rL1lo8jb--s,945,0,51,1780396769221,Tuttzsi,run_1780396442280,945,60018
"{""link"":""https://www.instagram.com/p/DZAai8ZpLk0/"",""text"":""https://www.instagram.com/p/DZAai8ZpLk0/""}",existing,0,101776,否,3909241227083823412,198084,1780241587951,instagramreels,是,是,195367,33,instagramreels_3909241227083823412,5382,0,33,1780365627465,ridstarlaw,run_1780365602600,5326,103138
"{""link"":""https://www.tiktok.com/@freego.judah/video/7643570343185108238"",""text"":""https://www.tiktok.com/@freego.judah/video/7643570343185108238""}",milestone_7d,19,29,否,7643570343185108238,5525,1780241605157,tiktok,是,是,29,0,tiktok_7643570343185108238,220,0,18,1780383709861,freego.judah,milestone_1780383699086,2,5525
"{""link"":""https://www.youtube.com/shorts/Pc-zbJ7jrL0"",""text"":""https://www.youtube.com/shorts/Pc-zbJ7jrL0""}",new,0,1649,是,Pc-zbJ7jrL0,1649,1780398413099,youtubeshort,是,是,1649,6,youtubeshort_Pc-zbJ7jrL0,40,0,6,1780398413099,Devin Bagnoli,run_1780396442280,40,1649
"{""link"":""https://www.instagram.com/p/DY47l5dMmdg/"",""text"":""https://www.instagram.com/p/DY47l5dMmdg/""}",new,0,676,是,3907134765801826144,3079,1780480758907,instagramreels,是,是,3079,8,instagramreels_3907134765801826144,69,0,8,1780480758907,surron_london,run_1780479721870,69,676
"{""link"":""https://www.youtube.com/shorts/PyCRmXOKe6I"",""text"":""https://www.youtube.com/shorts/PyCRmXOKe6I""}",new,0,12331,是,PyCRmXOKe6I,12331,1780397149380,youtubeshort,是,是,12331,10,youtubeshort_PyCRmXOKe6I,212,0,10,1780397149380,Jaydin Smart,run_1780396442280,212,12331
"{""link"":""https://www.youtube.com/shorts/fQDS8JPwJAE"",""text"":""https://www.youtube.com/shorts/fQDS8JPwJAE""}",milestone_7d,0,936,否,fQDS8JPwJAE,129168,1780396497248,youtubeshort,是,是,936,1,youtubeshort_fQDS8JPwJAE,4800,0,1458,1780453875570,Reckless Rides,milestone_1780453805090,100,129168
"{""link"":""https://www.youtube.com/shorts/4xErAs-S0eQ"",""text"":""https://www.youtube.com/shorts/4xErAs-S0eQ""}",new,0,95893,是,4xErAs-S0eQ,95893,1780396767247,youtubeshort,是,是,95893,69,youtubeshort_4xErAs-S0eQ,1800,0,69,1780396767247,Tuttzsi,run_1780396442280,1800,95893
"{""link"":""https://www.youtube.com/shorts/McYKGjgYDLQ"",""text"":""https://www.youtube.com/shorts/McYKGjgYDLQ""}",new,0,10235,是,McYKGjgYDLQ,10235,1780482392690,youtubeshort,是,是,10235,8,youtubeshort_McYKGjgYDLQ,182,0,8,1780482392690,68v_ebikes,run_1780479721870,182,10235
"{""link"":""https://www.tiktok.com/@ridstarlaw/video/7646063208721173774"",""text"":""https://www.tiktok.com/@ridstarlaw/video/7646063208721173774""}",new,3,1535,是,7646063208721173774,1535,1780241614311,tiktok,是,是,1535,5,tiktok_7646063208721173774,58,3,5,1780241614311,ridstarlaw,run_1780241575191,58,1535
"{""link"":""https://www.tiktok.com/@owen.monroe/video/7646546835842092301"",""text"":""https://www.tiktok.com/@owen.monroe/video/7646546835842092301""}",new,0,643,是,7646546835842092301,643,1780482586574,tiktok,是,是,643,4,tiktok_7646546835842092301,67,0,4,1780482586574,owen.monroe,run_1780479721870,67,643
"{""link"":""https://www.youtube.com/shorts/fQDS8JPwJAE"",""text"":""https://www.youtube.com/shorts/fQDS8JPwJAE""}",new,0,128232,是,fQDS8JPwJAE,128232,1780396497248,youtubeshort,是,是,128232,1457,youtubeshort_fQDS8JPwJAE,4700,0,1457,1780396497248,Reckless Rides,run_1780396442280,4700,128232
"{""link"":""https://www.tiktok.com/@ridstarlaw/video/7646063208721173774"",""text"":""https://www.tiktok.com/@ridstarlaw/video/7646063208721173774""}",existing,657,247665,否,7646063208721173774,249200,1780241614311,tiktok,是,是,247665,154,tiktok_7646063208721173774,6500,654,159,1780365701008,ridstarlaw,run_1780365602600,6442,249200
"{""link"":""https://www.tiktok.com/@freego.judah/video/7644671614822501663"",""text"":""https://www.tiktok.com/@freego.judah/video/7644671614822501663""}",existing,9,30,否,7644671614822501663,4296,1780225425753,tiktok,是,是,30,0,tiktok_7644671614822501663,196,0,14,1780241602497,freego.judah,run_1780241575191,3,4296
"{""link"":""https://www.tiktok.com/@ridstarlaw/video/7645410653875883277"",""text"":""https://www.tiktok.com/@ridstarlaw/video/7645410653875883277""}",existing,56,13301,否,7645410653875883277,21200,1780241615097,tiktok,是,是,13301,24,tiktok_7645410653875883277,592,40,38,1780365701776,ridstarlaw,run_1780365602600,331,21200
"{""link"":""https://www.youtube.com/shorts/uLkux4JUQfM"",""text"":""https://www.youtube.com/shorts/uLkux4JUQfM""}",new,0,2629,是,uLkux4JUQfM,2629,1780482847197,youtubeshort,是,是,2629,3,youtubeshort_uLkux4JUQfM,34,0,3,1780482847197,Anthony Moreno,run_1780479721870,34,2629
"{""link"":""https://www.youtube.com/watch?v=MKbjsEe_x-E"",""text"":""https://www.youtube.com/watch?v=MKbjsEe_x-E""}",new,0,154,是,MKbjsEe_x-E,154,1780482474417,youtubevideo,是,是,154,4,youtubevideo_MKbjsEe_x-E,12,0,4,1780482474417,Filippo22,run_1780479721870,12,154
"{""link"":""https://www.youtube.com/watch?v=7wmQrDsnmaw"",""text"":""https://www.youtube.com/watch?v=7wmQrDsnmaw""}",new,0,3947,是,7wmQrDsnmaw,3947,1780480185873,youtubevideo,是,是,3947,30,youtubevideo_7wmQrDsnmaw,81,0,30,1780480185873,Ben’s Outdoor Boys,run_1780479721870,81,3947
"{""link"":""https://www.instagram.com/p/DY74vi_vkgC/"",""text"":""https://www.instagram.com/p/DY74vi_vkgC/""}",existing,0,2589,否,3907966659670722562,11934,1780241587144,instagramreels,是,是,5287,1,instagramreels_3907966659670722562,271,0,3,1780365626723,ridstarlaw,run_1780365602600,140,5056
"{""link"":""https://www.tiktok.com/@bikingwtheo/video/7646097622532361502"",""text"":""https://www.tiktok.com/@bikingwtheo/video/7646097622532361502""}",new,20,9036,是,7646097622532361502,9036,1780480783202,tiktok,是,是,9036,38,tiktok_7646097622532361502,537,20,38,1780480783202,bikingwtheo,run_1780479721870,537,9036
"{""link"":""https://www.tiktok.com/@voltagerider/video/7645393521968663811"",""text"":""https://www.tiktok.com/@voltagerider/video/7645393521968663811""}",new,23,24700,是,7645393521968663811,24700,1780390409820,tiktok,是,是,24700,59,tiktok_7645393521968663811,686,23,59,1780390409820,voltagerider,run_1780389710735,686,24700
"{""link"":""https://www.instagram.com/p/DY2aRimI7jc/"",""text"":""https://www.instagram.com/p/DY2aRimI7jc/""}",new,0,5700,是,3906425281377974492,23726,1780480708709,instagramreels,是,是,23726,5,instagramreels_3906425281377974492,-1,0,5,1780480708709,gio_biker_900,run_1780479721870,-1,5700
"{""link"":""https://www.tiktok.com/@freego.judah/video/7645419787727736094"",""text"":""https://www.tiktok.com/@freego.judah/video/7645419787727736094""}",existing,0,21,否,7645419787727736094,1424,1780225423092,tiktok,是,是,21,0,tiktok_7645419787727736094,86,0,10,1780241599632,freego.judah,run_1780241575191,2,1424
"{""link"":""https://www.youtube.com/shorts/rbdmLoHESY4"",""text"":""https://www.youtube.com/shorts/rbdmLoHESY4""}",new,0,80710,是,rbdmLoHESY4,80710,1780486753376,youtubeshort,是,是,80710,35,youtubeshort_rbdmLoHESY4,1000,0,35,1780486753376,RidstarLaw,run_1780479721870,1000,80710
